seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(11;0),0,4,-100,0;7/-1;7/-1;6/-1;5
1,(12;9),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
1,(7;11),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
2,(11;0),0,2,-100,0;7/-1;7
1,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
2,(0;0),0,4,-100,0;7/-1;7/-1;6/-1;5
2,(12;9),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
1,(10;8),0,14,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4
2,(7;11),0,11,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2
3,(11;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
3,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
3,(12;9),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
3,(7;11),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
4,(11;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
2,(10;8),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
4,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
4,(12;9),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
5,(0;0),0,3,-100,0;7/-1;7/-1;6
5,(11;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
3,(10;8),0,11,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2
6,(11;0),0,3,-100,0;7/-1;7/-1;6
4,(7;11),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
6,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
4,(10;8),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
5,(12;9),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
5,(7;11),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
7,(0;0),0,3,-100,0;7/-1;7/-1;6
7,(11;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
6,(12;9),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
8,(0;0),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
8,(11;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
9,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
6,(7;11),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
5,(10;8),0,12,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3
7,(12;9),0,12,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3
9,(11;0),0,16,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
10,(0;0),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
8,(12;9),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
10,(11;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
6,(10;8),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
11,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
7,(7;11),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
9,(12;9),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
11,(11;0),0,12,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3
8,(7;11),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
12,(0;0),0,16,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5/0;-6
12,(11;0),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
7,(10;8),0,15,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/0;-4/0;-5
13,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
13,(11;0),0,3,-100,0;7/-1;7/-1;6
