seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(8;14),0,9,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2
1,(11;14),1,20,100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
1,(0;0),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
1,(6;10),0,12,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1
2,(0;0),0,16,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5
1,(2;7),1,20,100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
2,(8;14),0,18,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6
2,(11;14),0,18,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6
3,(0;0),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
2,(6;10),0,18,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6
4,(0;0),0,10,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1
2,(2;7),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
3,(11;14),0,15,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4
3,(8;14),0,16,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5
4,(11;14),0,9,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2
5,(0;0),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
3,(6;10),0,17,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5
4,(8;14),0,14,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/3;1/3;0/3;-1/3;-2/3;-3
6,(0;0),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1
5,(11;14),0,9,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1
3,(2;7),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
4,(6;10),0,16,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5
6,(11;14),0,12,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1
7,(0;0),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
5,(8;14),0,16,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5
8,(0;0),0,12,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1
7,(11;14),0,11,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0
4,(2;7),1,20,100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
5,(6;10),0,19,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7
9,(0;0),1,20,100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
6,(8;14),0,14,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3
8,(11;14),0,19,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7
10,(0;0),1,20,100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
7,(8;14),0,11,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0
9,(11;14),0,13,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/2;0/2;-1/3;-1/3;-2
6,(6;10),0,16,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5
5,(2;7),0,20,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
10,(11;14),0,8,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3
8,(8;14),0,9,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2
11,(0;0),1,20,100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
11,(11;14),0,8,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3
12,(0;0),0,14,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3
7,(6;10),0,16,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5
12,(11;14),0,9,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2
9,(8;14),0,16,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5
6,(2;7),1,20,100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
13,(0;0),0,17,-100,0;7/0;6/1;6/1;5/1;4/2;4/2;3/2;2/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5
14,(0;0),0,10,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1
8,(6;10),0,14,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3
13,(11;14),0,16,-100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/2;0/2;-1/3;-1/3;-2/3;-3/3;-4/3;-5
10,(8;14),0,15,-100,0;7/1;7/2;7/3;7/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4
15,(0;0),1,20,100,0;7/0;6/0;5/0;4/0;3/0;2/1;2/1;1/2;1/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/2;-5/2;-6/2;-7/1;-7
14,(11;14),0,13,-100,0;7/0;6/1;6/1;5/1;4/2;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2
