seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(8;4),0,4,-100,0;7/0;6/0;5/0;4
1,(9;13),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
2,(8;4),0,1,-100,0;7
1,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(9;13),0,5,-100,0;7/0;6/0;5/0;4/0;3
3,(8;4),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(12;3),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(8;4),0,3,-100,0;7/0;6/0;5
2,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(9;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(8;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
4,(9;13),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
3,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(0;13),0,12,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4
6,(8;4),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(9;13),0,10,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2
2,(12;3),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
7,(8;4),0,4,-100,0;7/0;6/0;5/0;4
6,(9;13),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
4,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
8,(8;4),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
4,(0;13),0,13,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5
7,(9;13),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
9,(8;4),0,2,-100,0;7/0;6
10,(8;4),0,2,-100,0;7/0;6
5,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(12;3),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
8,(9;13),0,13,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5
11,(8;4),0,3,-100,0;7/0;6/0;5
12,(8;4),0,2,-100,0;7/0;6
6,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
9,(9;13),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
6,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(8;4),0,2,-100,0;7/0;6
14,(8;4),0,4,-100,0;7/0;6/0;5/0;4
7,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(9;13),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
4,(12;3),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(8;4),0,4,-100,0;7/0;6/0;5/0;4
7,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
11,(9;13),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
8,(0;0),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
16,(8;4),0,2,-100,0;7/0;6
12,(9;13),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
17,(8;4),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
8,(0;13),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
18,(8;4),0,2,-100,0;7/0;6
5,(12;3),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
9,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
19,(8;4),0,3,-100,0;7/0;6/0;5
13,(9;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
9,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
20,(8;4),0,4,-100,0;7/0;6/0;5/0;4
14,(9;13),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
21,(8;4),0,2,-100,0;7/0;6
10,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
22,(8;4),0,3,-100,0;7/0;6/0;5
15,(9;13),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
10,(0;13),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
