seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(1;3),0,5,-100,0;7/0;6/0;5/0;4/1;4
1,(10;9),0,14,-100,0;7/1;7/1;6/0;6/-1;6/0;6/-1;6/-2;6/-1;6/-1;5/0;5/1;5/0;5/1;5
1,(13;7),0,11,-100,0;7/-1;7/-2;7/-3;7/-4;7/-5;7/-5;6/-6;6/-6;5/-6;4/-5;4
1,(0;0),0,12,-100,0;7/0;6/0;5/1;5/2;5/3;5/3;4/3;3/4;3/4;2/4;1/4;2
1,(12;5),0,13,-100,0;7/1;7/2;7/1;7/0;7/-1;7/-2;7/-3;7/-4;7/-4;6/-5;6/-6;6/-6;5
2,(1;3),0,4,-100,0;7/0;6/0;5/0;4
2,(0;0),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
2,(10;9),0,13,-100,0;7/1;7/1;6/0;6/0;5/0;6/-1;6/-1;5/-2;5/-3;5/-2;5/-2;4/-1;4
3,(1;3),0,6,-100,0;7/1;7/1;6/2;6/1;6/2;6
2,(12;5),0,10,-100,0;7/1;7/0;7/0;6/-1;6/-1;5/-2;5/-1;5/-1;4/-1;5
3,(0;0),0,5,-100,0;7/0;6/0;7/0;6/0;7
3,(10;9),0,10,-100,0;7/0;6/-1;6/-2;6/-2;5/-2;4/-2;5/-2;4/-2;3/-2;4
3,(12;5),0,9,-100,0;7/1;7/2;7/1;7/0;7/-1;7/-2;7/-1;7/0;7
4,(1;3),0,14,-100,0;7/-1;7/0;7/1;7/1;6/1;7/1;6/2;6/3;6/4;6/4;5/4;4/4;3/4;4
4,(0;0),0,13,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/-1;1/0;1/-1;1/-2;1/-3;1/-3;2
2,(13;7),1,36,100,0;7/-1;7/-2;7/-1;7/0;7/-1;7/-2;7/-2;6/-3;6/-4;6/-3;6/-4;6/-5;6/-5;5/-5;4/-4;4/-4;3/-4;2/-4;1/-5;1/-5;0/-6;0/-7;0/-7;-1/-7;-2/-7;-3/-6;-3/-5;-3/-4;-3/-4;-4/-4;-5/-4;-6/-3;-6/-2;-6/-2;-7/-1;-7
5,(1;3),0,4,-100,0;7/-1;7/-2;7/-3;7
4,(12;5),0,9,-100,0;7/-1;7/-2;7/-3;7/-4;7/-5;7/-5;6/-5;5/-4;5
4,(10;9),0,13,-100,0;7/1;7/0;7/-1;7/-1;6/-2;6/-2;5/-3;5/-4;5/-5;5/-5;4/-6;4/-6;5
5,(0;0),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/1;0
6,(1;3),0,9,-100,0;7/1;7/0;7/1;7/2;7/3;7/4;7/3;7/3;6
3,(13;7),0,15,-100,0;7/-1;7/-2;7/-3;7/-4;7/-5;7/-5;6/-5;5/-5;4/-5;3/-5;2/-5;3/-5;2/-5;1/-4;1
5,(12;5),0,10,-100,0;7/-1;7/-2;7/-3;7/-4;7/-3;7/-4;7/-3;7/-2;7/-3;7
5,(10;9),0,13,-100,0;7/-1;7/-2;7/-1;7/0;7/1;7/0;7/-1;7/0;7/0;6/1;6/0;6/-1;6
7,(1;3),0,9,-100,0;7/0;6/-1;6/0;6/1;6/2;6/3;6/3;5/2;5
6,(12;5),0,6,-100,0;7/0;6/1;6/0;6/0;5/0;4
4,(13;7),0,11,-100,0;7/0;6/1;6/1;5/1;6/0;6/-1;6/-1;5/-1;6/0;6/0;5
6,(0;0),1,18,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/-1;1/-1;0/-1;-1/0;-1/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
6,(10;9),0,8,-100,0;7/-1;7/-1;6/-2;6/-2;5/-1;5/-2;5/-2;4
8,(1;3),0,4,-100,0;7/0;6/-1;6/-2;6
5,(13;7),0,11,-100,0;7/1;7/0;7/-1;7/-1;6/-2;6/-3;6/-3;5/-3;4/-2;4/-2;3
9,(1;3),0,7,-100,0;7/1;7/1;6/2;6/1;6/2;6/2;5
7,(12;5),0,20,-100,0;7/-1;7/-2;7/-1;7/-2;7/-2;6/-3;6/-3;5/-3;4/-3;3/-3;2/-3;1/-4;1/-5;1/-6;1/-6;0/-7;0/-6;0/-5;0/-6;0
7,(10;9),0,12,-100,0;7/-1;7/0;7/-1;7/-1;6/-2;6/-3;6/-4;6/-4;5/-5;5/-5;4/-4;4
6,(13;7),0,7,-100,0;7/-1;7/-2;7/-1;7/0;7/1;7/2;7
10,(1;3),0,5,-100,0;7/-1;7/-2;7/-1;7/-2;7
