seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(3;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
1,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
1,(1;12),0,12,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2
2,(3;8),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
2,(0;0),0,11,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1
2,(1;12),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0
3,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
3,(3;8),0,11,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1
4,(0;0),0,4,-100,0;7/-1;7/-1;6/-1;5
1,(10;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
1,(9;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
5,(0;0),0,4,-100,0;7/-1;7/-1;6/-1;5
3,(1;12),0,13,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3
4,(3;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
6,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
4,(1;12),0,11,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1
5,(3;8),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
7,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
2,(10;14),0,13,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3
5,(1;12),0,8,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1
8,(0;0),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
2,(9;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
6,(3;8),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
9,(0;0),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
6,(1;12),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
10,(0;0),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
7,(3;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
3,(10;14),0,15,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5
11,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
7,(1;12),0,13,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3
8,(3;8),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0
3,(9;14),0,17,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6
12,(0;0),0,18,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
9,(3;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
8,(1;12),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0
10,(3;8),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
13,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
9,(1;12),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
11,(3;8),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
4,(10;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
4,(9;14),0,17,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6
14,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
10,(1;12),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
12,(3;8),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
15,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
11,(1;12),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
13,(3;8),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0
5,(10;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
16,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
14,(3;8),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
12,(1;12),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
5,(9;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
17,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
15,(3;8),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
18,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
13,(1;12),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
6,(10;14),0,16,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6
19,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
16,(3;8),0,13,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-2;0/-2;-1/-2;-2/-2;-3
14,(1;12),0,9,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
17,(3;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
