seed, starting_position, habit_result, habit_len, habit_reward, trajectory
10,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
14,(8;7),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1
10,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
8,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(8;7),0,5,-100,0;7/0;6/0;5/1;5/1;4
11,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
11,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
11,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
16,(8;7),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;5/1;4/1;3/0;3
17,(8;7),0,5,-100,0;7/0;6/0;5/1;5/1;4
9,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
18,(8;7),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;5/1;6/1;5/1;4/1;3/0;3/0;2
13,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
19,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
13,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
20,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
14,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
11,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
21,(8;7),0,4,-100,0;7/0;6/0;5/1;5
14,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
14,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
22,(8;7),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0
15,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
