seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(1;1),0,8,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1
1,(0;0),0,7,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2
2,(1;1),0,2,-100,0;7/0;6
2,(0;0),0,7,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2
3,(1;1),0,4,-100,0;7/0;6/-1;6/-1;5
1,(1;8),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
1,(6;7),1,24,100,0;7/0;6/-1;6/0;6/1;6/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
1,(0;7),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
3,(0;0),1,16,100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
4,(1;1),0,16,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
2,(6;7),0,22,-100,0;7/0;6/-1;6/0;6/1;6/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7
5,(1;1),0,3,-100,0;7/0;6/-1;6
4,(0;0),0,3,-100,0;7/0;6/-1;6
2,(0;7),0,14,-100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1
6,(1;1),0,3,-100,0;7/0;6/-1;6
5,(0;0),0,9,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
2,(1;8),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
7,(1;1),0,5,-100,0;7/0;6/-1;6/-1;5/-1;4
6,(0;0),0,10,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
8,(1;1),0,14,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5
3,(6;7),1,26,100,0;7/0;6/-1;6/0;6/1;6/0;6/1;6/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
3,(0;7),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
7,(0;0),1,16,100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
9,(1;1),1,16,100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
3,(1;8),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
4,(6;7),0,15,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;4/-1;5/-1;4/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0
10,(1;1),0,3,-100,0;7/0;6/-1;6
8,(0;0),1,16,100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
11,(1;1),0,4,-100,0;7/0;6/-1;6/-1;5
4,(0;7),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
9,(0;0),0,11,-100,0;7/0;6/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2
5,(6;7),0,22,-100,0;7/0;6/-1;6/0;6/1;6/0;6/1;6/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5
4,(1;8),1,22,100,0;7/1;7/2;7/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
12,(1;1),0,22,-100,0;7/0;6/1;6/2;6/3;6/4;6/4;5/4;4/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
