seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(12;1),0,2,-100,0;7/1;7
1,(8;10),0,9,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;6/-3;6/-4;6/-4;5
1,(2;1),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
2,(12;1),0,2,-100,0;7/1;7
1,(0;0),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
3,(12;1),0,3,-100,0;7/1;7/1;6
2,(2;1),0,6,-100,0;7/1;7/1;6/1;5/1;4/1;3
1,(0;13),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
4,(12;1),0,2,-100,0;7/1;7
2,(0;0),0,7,-100,0;7/1;7/1;6/1;5/1;4/1;3/1;2
5,(12;1),0,2,-100,0;7/1;7
3,(2;1),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
2,(8;10),1,24,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;6/-3;6/-4;6/-4;5/-4;4/-4;3/-4;2/-3;2/-3;1/-3;0/-3;-1/-3;-2/-3;-3/-2;-3/-2;-4/-2;-5/-2;-6/-1;-6/-1;-7
6,(12;1),0,3,-100,0;7/1;7/1;6
2,(0;13),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
3,(0;0),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
7,(12;1),0,2,-100,0;7/1;7
4,(2;1),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
3,(8;10),0,8,-100,0;7/-1;7/-2;7/-2;6/-2;5/-1;5/-1;4/0;4
8,(12;1),0,2,-100,0;7/1;7
5,(2;1),0,3,-100,0;7/1;7/1;6
4,(8;10),0,9,-100,0;7/-1;7/-2;7/-2;6/-2;5/-1;5/-1;4/0;4/0;3
4,(0;0),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
9,(12;1),0,2,-100,0;7/1;7
3,(0;13),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
6,(2;1),0,7,-100,0;7/1;7/1;6/1;5/1;4/1;3/1;2
10,(12;1),0,13,-100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3
7,(2;1),0,5,-100,0;7/1;7/1;6/1;5/1;4
5,(0;0),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
11,(12;1),1,16,100,0;7/1;7/1;6/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/0;-3/0;-4/0;-5/0;-6
