seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(11;1),0,2,-100,0;7/1;7
1,(10;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
1,(13;1),0,8,-100,0;7/-1;7/-1;6/0;6/0;5/0;4/0;3/0;2
2,(10;4),0,4,-100,0;7/-1;7/-2;7/-2;6
2,(11;1),0,16,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-3;3/-4;3/-4;2/-4;1/-4;0/-5;0/-5;-1/-6;-1/-6;-2
2,(13;1),0,3,-100,0;7/-1;7/-1;6
3,(10;4),0,2,-100,0;7/1;7
1,(0;0),1,20,100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
3,(11;1),0,3,-100,0;7/-1;7/-2;7
1,(7;11),1,32,100,0;7/1;7/2;7/2;6/2;7/1;7/0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-3;3/-4;3/-4;2/-4;1/-4;0/-5;0/-5;-1/-6;-1/-6;-2/-6;-3/-6;-4/-6;-5/-6;-6/-6;-7/-5;-7/-4;-7/-3;-7/-2;-7/-1;-7
3,(13;1),0,4,-100,0;7/-1;7/-1;6/0;6
4,(10;4),0,8,-100,0;7/-1;7/-1;6/-1;5/-2;5/-2;4/-2;3/-3;3
5,(10;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
4,(13;1),0,7,-100,0;7/1;7/0;7/-1;7/-1;6/0;6/0;5
2,(0;0),1,20,100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
6,(10;4),0,4,-100,0;7/-1;7/-2;7/-2;6
5,(13;1),0,4,-100,0;7/1;7/2;7/2;6
4,(11;1),1,26,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-3;3/-4;3/-4;2/-4;1/-4;0/-5;0/-5;-1/-6;-1/-6;-2/-6;-3/-6;-4/-5;-4/-4;-4/-4;-5/-4;-6/-4;-7/-3;-7/-2;-7/-1;-7
7,(10;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
2,(7;11),1,20,100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
5,(11;1),0,4,-100,0;7/-1;7/-2;7/-2;6
8,(10;4),0,5,-100,0;7/1;7/0;7/-1;7/-1;6
6,(13;1),0,17,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-3;3/-4;3/-4;2/-4;1/-4;0/-5;0/-5;-1/-6;-1/-6;-2/-6;-3
3,(0;0),1,20,100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2/3;-3/3;-4/3;-5/3;-6/3;-7/2;-7/1;-7
9,(10;4),0,4,-100,0;7/-1;7/-2;7/-2;6
7,(13;1),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
4,(0;0),0,10,-100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1
8,(13;1),0,3,-100,0;7/1;7/2;7
10,(10;4),0,9,-100,0;7/-1;7/-2;7/-3;7/-4;7/-3;7/-2;7/-2;6/-2;5
3,(7;11),0,13,-100,0;7/1;7/2;7/2;6/3;6/3;5/3;4/3;3/3;2/3;1/3;0/3;-1/3;-2
6,(11;1),1,26,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-3;3/-4;3/-4;2/-4;1/-4;0/-5;0/-5;-1/-6;-1/-6;-2/-6;-3/-6;-4/-5;-4/-4;-4/-4;-5/-4;-6/-4;-7/-3;-7/-2;-7/-1;-7
