seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(11;4),0,4,-100,0;7/-1;7/-1;6/-1;5
1,(0;8),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
1,(4;11),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
2,(11;4),0,4,-100,0;7/-1;7/-1;6/-1;5
1,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
2,(4;11),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
2,(0;8),0,14,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5
1,(10;14),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
2,(0;0),0,10,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1
3,(11;4),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
3,(4;11),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
3,(0;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
4,(11;4),0,4,-100,0;7/-1;7/-1;6/-1;5
4,(4;11),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
3,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
5,(11;4),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
2,(10;14),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
5,(4;11),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
4,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
4,(0;8),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
6,(11;4),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
6,(4;11),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
7,(11;4),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
3,(10;14),0,12,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3
5,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
5,(0;8),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
7,(4;11),0,8,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1
8,(11;4),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
8,(4;11),0,8,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1
6,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
9,(11;4),0,4,-100,0;7/-1;7/-1;6/-1;5
4,(10;14),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
6,(0;8),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
9,(4;11),0,8,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1
10,(11;4),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
7,(0;8),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2
7,(0;0),1,16,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-1;2/-1;1/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
10,(4;11),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
