seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(9;14),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
1,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
1,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
1,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
1,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
2,(9;14),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
2,(1;5),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5
2,(3;9),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
2,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
2,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
3,(1;5),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
3,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
3,(9;14),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
3,(4;10),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
3,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
4,(1;5),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3
4,(9;14),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
4,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
4,(0;0),0,5,-100,0;7/0;6/0;5/1;5/1;4
5,(1;5),0,5,-100,0;7/0;6/0;5/1;5/1;4
4,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
5,(9;14),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3
5,(0;0),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
5,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
6,(1;5),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
5,(4;10),0,5,-100,0;7/0;6/0;5/1;5/1;4
6,(9;14),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
7,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
6,(0;0),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6
6,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
6,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
7,(9;14),0,13,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3
8,(1;5),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
7,(4;10),0,5,-100,0;7/0;6/0;5/1;5/1;4
7,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
7,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
8,(9;14),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
9,(1;5),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4
8,(4;10),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
8,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
8,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
9,(9;14),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4
10,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
9,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
10,(9;14),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
9,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
9,(3;9),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
11,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
10,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
11,(9;14),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
10,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
10,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
11,(4;10),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
12,(1;5),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
12,(9;14),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3
11,(3;9),0,13,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3
11,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
13,(1;5),0,5,-100,0;7/0;6/0;5/1;5/1;4
12,(4;10),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6
13,(9;14),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3
12,(0;0),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
14,(1;5),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
12,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
14,(9;14),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
13,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
13,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
13,(0;0),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
15,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
15,(9;14),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
14,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
14,(0;0),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5
14,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
16,(9;14),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
16,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
15,(4;10),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
15,(3;9),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5
15,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
17,(9;14),0,10,-100,0;7/0;6/0;5/-1;5/0;5/1;5/1;4/1;3/1;2/1;1
17,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
16,(4;10),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
16,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
18,(9;14),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
16,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
17,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
18,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
17,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
19,(9;14),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
19,(1;5),0,5,-100,0;7/0;6/0;5/1;5/1;4
17,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
20,(9;14),0,9,-100,0;7/0;6/-1;6/-1;5/0;5/1;5/1;4/1;3/1;2
18,(3;9),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
18,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
20,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
21,(9;14),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
18,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
19,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
22,(9;14),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
21,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
19,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
22,(1;5),0,5,-100,0;7/0;6/0;5/1;5/1;4
19,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
20,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
23,(9;14),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
20,(4;10),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3
21,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
23,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
24,(9;14),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
20,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
24,(1;5),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
22,(3;9),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
21,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
25,(9;14),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
25,(1;5),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
21,(0;0),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
23,(3;9),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
22,(4;10),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
26,(9;14),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
26,(1;5),0,5,-100,0;7/0;6/0;5/1;5/1;4
22,(0;0),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
27,(9;14),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
27,(1;5),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
24,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
23,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
28,(9;14),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2
23,(0;0),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5
25,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
28,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
24,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
29,(9;14),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
26,(3;9),0,5,-100,0;7/0;6/0;5/1;5/1;4
24,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
29,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
30,(9;14),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
25,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
27,(3;9),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
30,(1;5),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
31,(9;14),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
25,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
28,(3;9),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
26,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
31,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2/0;-3/0;-4/0;-5/0;-6
32,(9;14),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5
26,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
29,(3;9),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0
27,(4;10),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/0;-4/0;-5/0;-6
32,(1;5),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
33,(9;14),0,11,-100,0;7/0;6/-1;6/-1;5/0;5/1;5/1;4/1;3/1;2/1;1/1;0
30,(3;9),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2
27,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
28,(4;10),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
33,(1;5),0,12,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/0;-2
31,(3;9),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1
34,(9;14),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/1;-7
28,(0;0),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/1;2/1;1
