seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(9;7),0,6,-100,0;7/1;7/2;7/2;6/2;5/2;4
1,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(9;7),0,10,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1
1,(13;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(1;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(2;13),0,16,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4
3,(9;7),0,5,-100,0;7/1;7/2;7/2;6/2;5
2,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(13;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(9;7),0,7,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3
5,(9;7),0,7,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3
2,(2;13),0,14,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2
3,(13;12),0,8,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/3;3
3,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(1;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
6,(9;7),0,10,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1
4,(13;12),0,7,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3
7,(9;7),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(13;12),0,6,-100,0;7/1;7/2;7/2;6/2;5/2;4
4,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(2;13),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(1;12),0,16,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4
8,(9;7),0,7,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3
6,(13;12),0,14,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2
5,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
9,(9;7),0,5,-100,0;7/1;7/2;7/2;6/2;5
7,(13;12),0,7,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3
4,(2;13),0,18,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(9;7),0,11,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0
4,(1;12),0,18,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
6,(0;0),0,18,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
11,(9;7),0,3,-100,0;7/1;7/2;7
8,(13;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(9;7),0,6,-100,0;7/1;7/2;7/2;6/2;5/2;4
9,(13;12),0,8,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2
7,(0;0),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(2;13),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(1;12),1,18,100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(9;7),0,15,-100,0;7/1;7/2;7/2;6/2;5/2;4/2;3/2;2/2;1/1;1/1;0/1;-1/0;-1/0;-2/0;-3
