seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(4;11),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
1,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
1,(0;8),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
1,(0;0),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
1,(11;4),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(10;14),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
2,(0;8),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(4;11),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(11;4),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
3,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
3,(11;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
3,(4;11),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
3,(0;8),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
3,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(11;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
4,(10;14),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
4,(0;8),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
4,(4;11),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(11;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
5,(0;8),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
5,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
5,(4;11),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
6,(11;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
6,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
5,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
6,(0;8),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
6,(4;11),0,6,-100,0;7/0;6/0;5/0;4/0;3/0;2
7,(11;4),0,10,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2
7,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
7,(0;8),0,5,-100,0;7/0;6/0;5/0;4/0;3
6,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
7,(4;11),0,5,-100,0;7/0;6/0;5/0;4/0;3
8,(11;4),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
8,(10;14),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
7,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
8,(4;11),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
8,(0;8),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
9,(11;4),0,4,-100,0;7/0;6/0;5/0;4
9,(0;8),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
9,(10;14),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
8,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(11;4),0,4,-100,0;7/0;6/0;5/0;4
9,(4;11),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
10,(0;8),0,10,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2
11,(11;4),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
9,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
10,(4;11),0,10,-100,0;7/0;6/1;6/1;5/1;4/1;3/0;3/0;2/0;1/0;0
11,(10;14),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
11,(0;8),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
12,(11;4),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
11,(4;11),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
10,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(11;4),0,3,-100,0;7/0;6/0;5
12,(10;14),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
12,(0;8),0,13,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5
12,(4;11),0,9,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1
11,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
14,(11;4),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
13,(4;11),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
13,(10;14),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
13,(0;8),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
12,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(11;4),0,5,-100,0;7/0;6/0;5/0;4/0;3
14,(10;14),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
14,(4;11),0,8,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0
16,(11;4),0,3,-100,0;7/0;6/0;5
14,(0;8),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
13,(0;0),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(4;11),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
15,(0;8),0,7,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1
17,(11;4),1,14,100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
15,(10;14),0,11,-100,0;7/0;6/0;5/0;4/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
16,(4;11),0,5,-100,0;7/0;6/0;5/0;4/0;3
