seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(0;0),0,2,-100,0;7/-1;7
1,(11;4),0,5,-100,0;7/-1;7/-1;6/-2;6/-2;5
1,(10;14),0,13,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2
1,(0;8),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
2,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
1,(4;11),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
2,(11;4),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
3,(11;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
3,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
2,(10;14),0,15,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
2,(4;11),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
2,(0;8),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
4,(11;4),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
4,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
3,(10;14),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
5,(0;0),0,4,-100,0;7/-1;7/-2;7/-2;6
5,(11;4),0,14,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3
3,(4;11),0,18,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
6,(0;0),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
3,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
6,(11;4),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
4,(10;14),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
7,(0;0),0,13,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2
7,(11;4),0,6,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4
8,(0;0),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3
4,(4;11),0,18,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
9,(0;0),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
8,(11;4),0,5,-100,0;7/-1;7/-1;6/-1;5/-1;4
4,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
5,(10;14),0,12,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1
10,(0;0),0,7,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3
9,(11;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
10,(11;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
5,(4;11),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
11,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
11,(11;4),0,5,-100,0;7/-1;7/-1;6/-2;6/-2;5
6,(10;14),0,15,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
5,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
12,(0;0),0,7,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3
13,(0;0),0,2,-100,0;7/-1;7
6,(4;11),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
12,(11;4),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
7,(10;14),0,15,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
6,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
14,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
13,(11;4),0,5,-100,0;7/-1;7/-2;7/-2;6/-2;5
15,(0;0),0,15,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
8,(10;14),0,14,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3
7,(4;11),0,15,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
16,(0;0),0,8,-100,0;7/0;6/0;5/0;4/-1;4/-1;3/-2;3/-2;2
14,(11;4),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
7,(0;8),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
17,(0;0),0,8,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2
15,(11;4),0,8,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2
9,(10;14),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
18,(0;0),0,3,-100,0;7/-1;7/-2;7
8,(4;11),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
8,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
10,(10;14),0,13,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2
16,(11;4),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
19,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
17,(11;4),0,6,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4
9,(4;11),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
20,(0;0),0,8,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2
9,(0;8),0,17,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6
21,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
11,(10;14),0,15,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4
18,(11;4),0,16,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5
22,(0;0),0,6,-100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3
10,(4;11),0,17,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6
10,(0;8),0,14,-100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3
19,(11;4),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
23,(0;0),0,3,-100,0;7/-1;7/-2;7
12,(10;14),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
24,(0;0),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
20,(11;4),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
11,(4;11),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
13,(10;14),0,13,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2
25,(0;0),0,4,-100,0;7/-1;7/-2;7/-2;6
11,(0;8),1,18,100,0;7/-1;7/-1;6/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
14,(10;14),0,12,-100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1
26,(0;0),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/-1;-7
21,(11;4),1,18,100,0;7/-1;7/-2;7/-2;6/-2;5/-2;4/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
12,(4;11),1,18,100,0;7/-1;7/-1;6/-1;5/-1;4/-1;3/-2;3/-2;2/-2;1/-2;0/-1;0/-1;-1/-1;-2/-1;-3/-1;-4/-1;-5/-1;-6/0;-6
